Zip_Code,Median
06076,78008.0
06078,90648.0
06082,53904.0
06083,73916.5
06084,300000.0
06085,63233.0
06088,91148.0
06089,102341.5
06095,186257.0
06098,87307.0
06103,83180.0
06105,28344.0
06106,31892.0
06107,105164.0
06108,40919.0
06109,87985.5
06111,73843.0
06112,56887.0
06114,0.0
06117,300000.0
06118,55758.0
06119,300000.0
06120,34839.0
06226,28728.0
06232,300000.0
06234,100367.0
06235,77421.0
06238,300000.0
06249,83937.0
06250,300000.0
06255,68493.5
06256,300000.0
06260,35867.0
06263,300000.0
06281,300000.0
06320,169677.5
06331,83545.0
06333,106865.0
06334,81845.0
06335,111421.0
06340,88183.0
06351,43482.0
06354,55454.0
06357,64963.0
06359,62301.0
06360,56991.0
06365,70603.0
06370,99826.5
06371,150000.0
06379,58129.0
06385,87632.0
06390,300000.0
06401,41291.0
06403,79863.0
06405,86518.5
06409,300000.0
06410,115115.5
06412,77085.0
06413,300000.0
06415,112555.0
06418,54239.0
06424,105555.5
06437,78737.0
06441,115269.0
06443,300000.0
06447,300000.0
06450,45086.0
06455,87504.0
06457,68896.5
06460,82875.0
06468,146463.5
06469,89191.0
06470,103343.5
06471,76678.0
06473,89233.5
06475,195611.5
06477,84212.5
06479,300000.0
06480,77114.0
06482,119969.0
06483,109706.0
06484,97727.0
06488,32796.0
06489,184474.5
06492,77435.5
06498,53275.0
06511,34599.0
06512,181732.0
06513,59242.0
06514,176262.0
06515,48310.0
06516,79104.5
06517,75970.0
06518,130383.0
06519,39396.0
06524,199154.5
06604,39272.0
06605,43800.5
06606,53544.5
06607,300000.0
06610,45663.0
06611,164782.0
06614,73376.5
06615,189679.5
06702,12235.0
06704,39791.0
06705,51752.5
06706,35978.0
06708,164365.0
06710,41882.0
06712,300000.0
06716,82810.0
06756,81355.0
06759,75910.5
06762,68619.5
06763,80550.0
06770,58484.0
06776,84090.0
06779,59756.0
06784,107532.0
06786,300000.0
06787,91882.0
06790,56743.0
06794,78517.5
06798,72000.0
06801,187735.5
06804,59849.0
06810,72549.5
06811,102732.0
06812,112292.0
06820,300000.0
06824,246116.0
06825,148225.0
06830,75044.0
06831,212876.5
06840,196230.0
06850,75497.0
06851,87903.0
06854,42445.0
06855,108937.0
06870,66208.0
06877,200787.0
06878,132585.0
06880,175352.0
06890,177704.0
06897,300000.0
06901,53936.0
06902,157205.0
06903,227644.0
06905,79751.0
06906,54932.0
07001,68137.0
07002,42240.0
07003,69750.0
07005,89283.0
07006,201523.0
07008,44545.0
07009,214867.0
07010,58666.0
07011,66467.0
07012,300000.0
07013,99055.5
07016,141712.0
07017,51613.0
07018,36782.0
07020,203872.0
07021,158471.0
07022,27213.0
07024,57308.0
07026,42588.5
07028,300000.0
07029,50753.0
07030,118491.0
07031,82228.0
07032,82562.5
07033,113894.0
07035,61006.0
07036,73387.0
07039,122704.0
07040,108295.5
07041,300000.0
07042,188673.5
07044,300000.0
07047,62053.0
07050,30884.0
07052,300000.0
07054,96383.0
07055,31192.0
07057,61669.0
07058,300000.0
07060,59950.0
07063,42979.0
07065,162255.5
07066,119129.0
07067,208204.5
07069,112658.0
07070,300000.0
07071,94177.0
07073,86815.0
07075,97759.0
07076,115335.0
07077,73955.0
07078,300000.0
07079,300000.0
07080,103764.0
07081,163429.5
07083,91261.0
07086,70107.0
07087,42026.5
07090,300000.0
07091,100209.0
07092,175655.0
07093,42855.5
07094,82651.0
07095,72137.0
07102,31923.5
07103,28690.0
07104,25710.5
07105,51060.5
07106,28018.0
07107,28276.0
07108,22214.0
07109,73584.0
07110,88794.0
07111,47082.0
07112,44594.5
07201,40033.0
07202,41224.0
07203,52879.0
07204,57098.0
07205,69672.0
07206,59689.0
07208,51978.0
07302,63812.0
07304,59197.0
07305,63583.0
07306,38524.0
07307,55641.0
07401,116804.0
07403,77810.0
07405,120006.5
07407,300000.0
07410,204747.0
07416,50918.0
07419,89353.0
